config,metric,kind,mean,lo,hi,significant
cw,r,paired_diff,0.07677358453499479,-0.03448649914709036,0.18568402486817584,False
cw+cons,r,paired_diff,0.09123308926550504,-0.029003794532413436,0.20639659255961926,False
all,r,paired_diff,0.08565883242703036,0.006762835017963161,0.1513269646204667,True
cw,rho,paired_diff,0.05364291153528921,-0.03762587262198824,0.15089580616240592,False
cw+cons,rho,paired_diff,0.06905490112638306,-0.019951835237407504,0.15688901263252458,False
all,rho,paired_diff,0.06770738751948611,0.007726067125954532,0.11995617363529013,True
cw,mae,paired_diff,-0.14774905963770446,-0.24969705053895988,-0.011017523113037428,True
cw+cons,mae,paired_diff,-0.17399832808259932,-0.2929670130355852,-0.026953195134598897,True
all,mae,paired_diff,-0.10070629925307344,-0.1644407570659319,-0.01934922397787612,True
cw,stab_rho,paired_diff,-0.07570917726017658,-0.22598851398679023,0.14874628540257334,False
cw+cons,stab_rho,paired_diff,-0.045874966848747215,-0.21395175012798773,0.13960940049814868,False
all,stab_rho,paired_diff,0.03913073932260757,-0.15643034617857934,0.19293471223817207,False
cw,stab_bias,paired_diff,-0.01608032884246938,-0.2223155431210429,0.2156517430250445,False
cw+cons,stab_bias,paired_diff,0.09336056671292287,-0.11829891419251196,0.321537661499878,False
all,stab_bias,paired_diff,0.016557945963694268,-0.08860761028296948,0.1138542785955511,False
cw,auc_stab,paired_diff,0.03609704526130047,-0.02743207805550202,0.10073550761768131,False
cw+cons,auc_stab,paired_diff,0.04592658580858199,-0.01729246457032562,0.10221724464881494,False
all,auc_stab,paired_diff,0.039749328045516744,-0.0030517942615205557,0.0846751566679261,False
cw,detpr30,paired_diff,0.076,-0.09999999999999998,0.23333333333333334,False
cw+cons,detpr30,paired_diff,0.10949999999999999,-0.09999999999999998,0.3,False
all,detpr30,paired_diff,0.1433333333333333,-0.06666666666666665,0.36666666666666664,False
cw,ndcg30,paired_diff,0.013578735822941009,-0.21042455939457216,0.18041244161085745,False
cw+cons,ndcg30,paired_diff,0.039676446338127336,-0.09748434964200876,0.1961362131463703,False
all,ndcg30,paired_diff,0.04767149914593193,-0.06284449133560976,0.16316558906037976,False
base,r,absolute,0.44132472853463794,0.27100727819750847,0.5800764971731408,
cw,r,absolute,0.5180983130696326,0.31456118209279826,0.6872520128149736,
cw+cons,r,absolute,0.5325578178001429,0.3218529516528678,0.7139953571296197,
all,r,absolute,0.5269835609616682,0.3276183047143839,0.6994467884689329,
base,rho,absolute,0.4672039761999473,0.2916326776712146,0.6071704579791319,
cw,rho,absolute,0.5208468877352365,0.33011962424896407,0.6785713175367979,
cw+cons,rho,absolute,0.5362588773263304,0.32698423990264597,0.6978707059031283,
all,rho,absolute,0.5349113637194334,0.34603484431232673,0.6953365123905725,
base,mae,absolute,1.161282963771885,1.0045866635453822,1.373937427255039,
cw,mae,absolute,1.0135339041341802,0.7993796002906879,1.3100052263173634,
cw+cons,mae,absolute,0.9872846356892855,0.7685764600667909,1.310977237509527,
all,mae,absolute,1.0605766645188113,0.8749926169143967,1.3109833075604393,
base,stab_rho,absolute,0.0023817173234809397,-0.23856920572588217,0.3438509656945097,
cw,stab_rho,absolute,-0.07332745993669565,-0.35067129695735477,0.2945195976132201,
cw+cons,stab_rho,absolute,-0.04349324952526627,-0.31702428032664565,0.3404290140850885,
all,stab_rho,absolute,0.04151245664608851,-0.2009849012983283,0.32235494044652196,
base,stab_bias,absolute,1.8436323692187884,1.4491865619089943,2.2164208991284426,
cw,stab_bias,absolute,1.827552040376319,1.2669661181747927,2.405631478882655,
cw+cons,stab_bias,absolute,1.9369929359317115,1.4033225471377013,2.52345650701436,
all,stab_bias,absolute,1.8601903151824826,1.3928348923878417,2.3136458785247496,
base,auc_stab,absolute,0.6835991435686308,0.5884981125035664,0.7893602699146364,
cw,auc_stab,absolute,0.7196961888299314,0.6012709484676624,0.843304786170145,
cw+cons,auc_stab,absolute,0.7295257293772128,0.6049886719257219,0.8724283050188643,
all,auc_stab,absolute,0.7233484716141476,0.6135719811787275,0.8569642415572871,
base,detpr30,absolute,0.40808333333333335,0.2,0.6,
cw,detpr30,absolute,0.48408333333333337,0.3,0.6333333333333333,
cw+cons,detpr30,absolute,0.5175833333333333,0.3,0.7,
all,detpr30,absolute,0.5514166666666667,0.3,0.7333333333333333,
base,ndcg30,absolute,0.4262936930229602,0.20244936486993245,0.6541150893351783,
cw,ndcg30,absolute,0.4398724288459012,0.250093572180477,0.6073294652368844,
cw+cons,ndcg30,absolute,0.4659701393610875,0.22412294811289427,0.6839899648437406,
all,ndcg30,absolute,0.47396519216889216,0.27255686503650217,0.6959722485673083,
